drift_type,window_size,detector,detected,precision,recall,f1,fpr,repair_ms
none,50000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,50000,PSI,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,50000,KS,1,0.000000,0.000000,0.000000,0.500000,20.451400
none,50000,AE,1,0.000000,0.000000,0.000000,0.500000,20.593800
gradual,50000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
gradual,50000,PSI,1,1.000000,1.000000,1.000000,0.500000,18.097600
gradual,50000,KS,1,1.000000,1.000000,1.000000,0.500000,18.089400
gradual,50000,AE,1,1.000000,1.000000,1.000000,0.500000,18.042600
sudden,50000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
sudden,50000,PSI,1,1.000000,1.000000,1.000000,0.000000,19.118100
sudden,50000,KS,1,1.000000,1.000000,1.000000,0.500000,30.929100
sudden,50000,AE,1,1.000000,1.000000,1.000000,0.500000,18.449100
none,100000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,100000,PSI,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,100000,KS,1,0.000000,0.000000,0.000000,0.800000,18.143000
none,100000,AE,1,0.000000,0.000000,0.000000,0.800000,18.282300
gradual,100000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
gradual,100000,PSI,1,1.000000,1.000000,1.000000,0.666667,18.026400
gradual,100000,KS,1,1.000000,1.000000,1.000000,0.800000,37.144900
gradual,100000,AE,1,1.000000,1.000000,1.000000,0.800000,18.293900
sudden,100000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
sudden,100000,PSI,1,1.000000,1.000000,1.000000,0.666667,28.396800
sudden,100000,KS,1,1.000000,1.000000,1.000000,0.800000,18.386700
sudden,100000,AE,1,1.000000,1.000000,1.000000,0.800000,18.476800
none,200000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,200000,PSI,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,200000,KS,1,0.000000,0.000000,0.000000,0.909091,19.859500
none,200000,AE,1,0.000000,0.000000,0.000000,0.909091,23.347400
gradual,200000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
gradual,200000,PSI,1,1.000000,1.000000,1.000000,0.833333,21.410600
gradual,200000,KS,1,1.000000,1.000000,1.000000,0.909091,21.553700
gradual,200000,AE,1,1.000000,1.000000,1.000000,0.909091,27.504900
sudden,200000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
sudden,200000,PSI,1,1.000000,1.000000,1.000000,0.833333,22.808300
sudden,200000,KS,1,1.000000,1.000000,1.000000,0.909091,22.060700
sudden,200000,AE,1,1.000000,1.000000,1.000000,0.909091,22.793300
none,500000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,500000,PSI,0,0.000000,0.000000,0.000000,0.000000,0.000000
none,500000,KS,1,0.000000,0.000000,0.000000,0.966667,18.878400
none,500000,AE,1,0.000000,0.000000,0.000000,0.966667,18.096700
gradual,500000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
gradual,500000,PSI,1,1.000000,1.000000,1.000000,0.937500,21.305500
gradual,500000,KS,1,1.000000,1.000000,1.000000,0.966667,29.418400
gradual,500000,AE,1,1.000000,1.000000,1.000000,0.966667,30.546000
sudden,500000,EWMA,0,0.000000,0.000000,0.000000,0.000000,0.000000
sudden,500000,PSI,1,1.000000,1.000000,1.000000,0.933333,19.517600
sudden,500000,KS,1,1.000000,1.000000,1.000000,0.966667,18.784100
sudden,500000,AE,1,1.000000,1.000000,1.000000,0.966667,18.105300
