drift_type,window_size,detector,detected,detect_query,precision,recall,f1,fpr,false_positives,false_negatives,repair_ms
none,50000,Ensemble,1,27999,0.000000,0.000000,0.000000,0.984375,63,0,19.974700
gradual,50000,Ensemble,1,27999,1.000000,1.000000,1.000000,0.984375,63,0,18.084400
sudden,50000,Ensemble,1,27999,1.000000,1.000000,1.000000,0.984375,63,0,22.032600
none,100000,Ensemble,1,63,0.000000,0.000000,0.000000,0.999408,1689,0,28.672000
gradual,100000,Ensemble,1,63,1.000000,1.000000,1.000000,0.999408,1689,0,18.057800
sudden,100000,Ensemble,1,63,1.000000,1.000000,1.000000,0.999408,1689,0,37.358200
none,200000,Ensemble,1,127,0.000000,0.000000,0.000000,0.999795,4877,0,18.640900
gradual,200000,Ensemble,1,127,1.000000,1.000000,1.000000,0.999795,4877,0,29.075000
sudden,200000,Ensemble,1,127,1.000000,1.000000,1.000000,0.999795,4877,0,22.671900
none,500000,Ensemble,1,63,0.000000,0.000000,0.000000,0.999931,14439,0,18.064100
gradual,500000,Ensemble,1,63,1.000000,1.000000,1.000000,0.999931,14439,0,61.219500
sudden,500000,Ensemble,1,63,1.000000,1.000000,1.000000,0.999931,14439,0,26.717200
